text,label,nb_label
MCW Sign up today! Get 300 bonus for new players. Link: bit.ly/ph-12585,Gambling,Spam
The exam results have been posted on the bulletin board.,Ham,Ham
I-UPSIZE ang ALL DATA 50 mo! More data for all sites & apps na kasi may FREE 48 GB 'pag nag ALL DATA 50 ka today!! Load NA: https://smrt.ph/GetSmartApp or dial *123#,Ham,Ham
Microsoft access code: 0326,Ham,Ham
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",Ham,Ham
U still going to the mall?,Ham,Ham
"WAG I-SHARE ANG IYONG OTP. May bagong device na nagrequest ng access sa GCash account mo. Kung ikaw ito, ang OTP ay 633423. Kung hindi, scam yan at wag ibigay.",Ham,Ham
Wala akong naintindihan sa lesson,Ham,Ham
MA'AM/SIR! AUB iAccess needs validation due to suspicious activity: bit.ly/secure-ph-256905,Bank Scam,Spam
Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-234213,Phishing,Spam
You got called a tool?,Ham,Ham
GCASH: Your account is locked. Please verify identity now to avoid deactivation: bit.ly/update-ph-2025,Bank Scam,Spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,General Spam,Spam
New Player Free 2570P! PAGCOR Licensed! Official Jili!Cashout 10 Min! Play in GCash Playzone2.icu,"Bank Scam, Gambling",Spam
"UNSTPPBL SPEED for all your gadgets at home! Get GOMO FIBER and enjoy speeds of up to 100Mbps for a one-time installation fee of just P999. Apply now and get FREE UNLI FIBER for 30 days! To apply, just open the GOMO app, select the SHOP tab, and look for GOMO Fiber. Offer is valid until March 31, 2025 only. No advisories? Text OFF to 2686 for free.",Ham,Ham
MA'AM/SIR! GCASH iAccess needs validation due to suspicious activity: bit.ly/secure-ph-790445,Bank Scam,Spam
"Hi, I’m the new representative for this project.",Ham,Ham
Paayos ko muna sa it department,Ham,Ham
I see a cup of coffee animation,Ham,Ham
"2.Magdeposito ng 100P, makakuha ng 100P na libre 1q2w3e6.ca",General Spam,Spam
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. There is a request to link a new device to your GCash account. To allow this device to gain access to your account, your OTP is 421080. If you DID NOT make this request, please ignore this message. yyAfcYn/qSW",Ham,Ham
Good day! Im recruiter from Lazada. Your resume is qualified for 5k/day job. Click to apply: flash-parcel-tracking.net,General Spam,Spam
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 259.00 to GOMO. Your OTP is 407729. If you DID NOT make this request, please ignore this message.",Ham,Ham
"Your promo will expire on 2023-11-19 12:18:37. Go for more with Go+99 and get 8GB data for all sites, 8GB choice of apps and unli allnet texts for 7 days, for only P99. Just register to Go+ via https://glbe.co/NewGlobeONE or dial *143# and choose Go+.",Ham,Ham
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,General Spam,Spam
ringtoneking 84484,General Spam,Spam
Magkano nagastos mo sa kuko mo,Ham,Ham
"699472 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",Ham,Ham
"Sino ang gusto mong maging Governor ng Camarines Sur sa 2022, Leni Robredo o LRay Villafuerte?",General Spam,Spam
Nasan yung nail cutter natin,Ham,Ham
"A Modern Ortigas    > P50-B redevelopment of Ortigas East formerly Tiendesitas ""The Greenbelt of C5""  > High End Community like Serendra BGC  > Townhouse, Condo, Office for Sale   > Condotel (HII)   > Developed by Ortigas in partnership w/ Ayala    For details pls reply w/ your Name & Email    Harry   +63917****188",General Spam,Spam
Your Landbank credit card has been used for P500k. Report if unauthorized: bit.ly/secure-ph-340208,Bank Scam,Spam
"You're now registered to FamSURF50 with 5GB (for All Apps and Sites) for 3 days, valid until 2023-03-12, 07:13:28. For status, text FAMSURF STATUS. To stop, text FAMSURF STOP. For more info, text FAMSURF INFO and send to 8080.",Ham,Ham
lawin888.de Unlock the Ultimate Prizes! CIaim 166P free now and get a chance to win up to 1OOO times your winnings!,General Spam,Spam
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",Ham,Ham
Great escape. I fancy the bridge but needs her lager. See you tomo,Ham,Ham
Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-478656,Phishing,Spam
Mas sulit ang 9.9 with GGives! Checkout on TikTok Shop with GGives to get P200 cashback! For first-time GGives users only with P3k min. spend. Promo runs 09/08-09/10. Per DTI No. FTEB-196951.,Ham,Ham
09/04 12:37: P50.00 loaded to 09129094503 for 1 year. Ref:9D99TW00ZD. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp,Ham,Ham
"Hi Mr/Ms <NAME>, RDCN 20879 can be claimed at any RDPawnshop, Penbank, Villarica & TrueMoney branches. Please present valid ID. Thank you!",Ham,Ham
"Your payday just got better with GoJackpot! Claim 6,888p bonus now!    GoJpot.eu    Dreaming of the Samsung Galaxy S23+? Spin now for your chance to win it!",Gambling,Spam
"Final call: PHP 2,360.00 still active in your account. Use or withdraw before 23:00 tonight. Don't miss your chance! https://bit.ly/3WDSOw5",General Spam,Spam
"Embrace the Halloween spirit with Gojackpot's Cash Tournament! Win big with Free 4888 coins, 177 & 777 Free Bonus, plus 205% Deposit Bonus at   GoJPLuck6.com",Gambling,Spam
"Congratulations! You have successfully updated your customer profile with GCash. Continue enjoying GCash services like Send Money, GCredit, Paypal linking, and more!",Ham,Ham
Barangay announcement: May scheduled brownout sa inyong area bukas ng umaga. Please be guided accordingly.,General Spam,Spam
Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-365763,Phishing,Spam
"""Your 12,990 credit card points will expire today."" If you get an alert like this, remember this #AlagangGlobe tip: DON'T CLICK suspicious links in texts, even if the sender is your bank. Like Globe, banks will never send links via text to ask for your account details.",Ham,Ham
BOSS! Swerte mo today. Panalo na sa 999BET. Free 539 credits: bit.ly/secure-ph-435634,Gambling,Spam
"GCASH: Your account is temporarily on-hold, due to security purposes. Kindly verify here https://sprl.in/AppGCash",Bank Scam,Spam
"Happy Chinese New Year, GOMO Fam! Wishing you UNSTPPBL luck this 2025.",Ham,Ham
LBC: Parcel held at distribution center. Pay customs fee: bit.ly/secure-ph-507867,Phishing,Spam
"Hi Mr/Ms <NAME>, Mr/Ms <NAME>has claimed RDCN: 39981 at Bucana. Thank you and have a good day!",Ham,Ham
"BSP: Sali na sa 2021 BSP Youth Summitna gaganpin sa darating na Hulyo 9, 1:00pm - 3:30pm. Mag-register gamit ang link na ito: https://tinyurl.com/BSPYouthSummit",Ham,Ham
BANCO DE ORO: We need your urgent cooperation to verify your Online Banking. Please proceed here come.to/OnlineBDOPh,Bank Scam,Spam
Malugod kang tinatanggap ng PWIN777! Ang mga bagong miyembro ay maaaring magtamasa ng 100% benepisyo sa kanilang unang deposito na P197!  p777a1.xyz,Gambling,Spam
You have paid P47.00 of GCash to 7 Eleven on 06-29-23 03:44:44 AM. Ref. No. 072463010.,Ham,Ham
"<REAL NAME>, You don't want to miss out our PLATFORM W+!! Get 68% Live Casino WELCOME BONUS UP TO PHP 6,888! PLAY NOW wpluswin.com/7777FIFA",Gambling,Spam
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Ham,Ham
"In case you missed it, AmEx Virtual Pay recently got an upgrade. Get a new Security Code/CVV in the GCash app now to enjoy a safer and better AmEx experience. Visit go.gcash.com/AmExSecurityCode to learn more. No advisories? Tap go.gcash.com/optout",Ham,Ham
"You may now enjoy your borrowed LOAN LOAD10. To pay in full, buy at least P12 load and wait for the collection message. If still unpaid by 05/30/24, we will collect from your load top up even if it's less than your total loaned amount.",Ham,Ham
"It's not too late to claim your FREEBIE of 1GB for surfing, valid for 7 days. Simply load at least P90 one time by 04/17/2025. If you've already claimed your freebie, please disregard this message. REF#: FGRN20",Ham,Ham
"PCSO: Lucky number mo nanalo ng 250,000 PHP! Tawagan si Secretary Santos 09678071517.",General Spam,Spam
Paki send yung link ng meeting,Ham,Ham
Good day! Im recruiter from Lazada. Your resume is qualified for 5k/day job. Click to apply: wa.me/63912345678,General Spam,Spam
26/01 18:36: P50.00 loaded to 09129094503 from 09478580716 for 1 year. Ref:9AQ2KK66PK. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp,Ham,Ham
Telegram code: 27873 You can also tap on this link to log in: https://t.me/login/27873 oLeq9AcOZkT,Ham,Ham
Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-873119,Phishing,Spam
Netflix PH: Your subscription is on hold. Update billing to avoid interruption: jili-bet.ph/register,"Gambling, Phishing",Spam
sira pldt ngayon,Ham,Ham
"Mag-e-expire ang iyong cash reward sa 00:00, halika at kolektahin ito!http://pxpfs4zn.uk5g1m.com/d1e7l?c=1",Bank Scam,Spam
"Lamang ka sa susunod mong load up, DALI! Subscribe to ALL DATA or any promo at least P60 to get EXTRA 2 GB for 3 days FREE! Load na sa https://smrt.ph/GetSmartApp o i-dial ang *123# NOW NA!",Ham,Ham
"You're now registered to FamSURF50 with 5GB (for All Apps and Sites) for 3 days, valid until 2022-08-28, 00:02:46. For status, text FAMSURF STATUS. To stop, text FAMSURF STOP. For more info, text FAMSURF INFO and send to 8080.",Ham,Ham
Ur the lucky winner of Honda Click 125i from Coca-Cola. Valid for 24hrs. Pls call 09736078879.,Phishing,Spam
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,General Spam,Spam
"Part-time Job hiring! Telegram Task is looking for staff. Earn P10,000 weekly daily. Apply: bit.ly/secure-ph-785448",Phishing,Spam
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,Ham,Ham
"Hi there! You still have a few days left to grab your FREE 150MB for surfing valid for 2 days! Just load at least P10 one time by 07/05/2023. #BestTimeWithGlobe If you've already claimed your freebie, please disregard this message. REF#: FGRT1",Ham,Ham
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Ham,Ham
"Umuulan ng 3X BONUS Rewards points sa Globe At Home dahil #GDayEveryday ngayon! Mag-load ng FamSURF199 and up from Sept. 14 - 17, 2023 via GlobeOne app at glbe.co/GLBOne para may instant 3X points kang makukuha. Pwede mo gamitin ang points para sumali sa G Chance The Raffle to win electric vehicle, vacation packages, shopping spree, at marami pang iba. Kaya, mag-load na! Per DTI FTEB-175485 Series of 2023.",Ham,Ham
Your order #17152 delivery failed. Update address to avoid return: bit.ly/secure-ph-696266,Phishing,Spam
"Especiai na bonus muia sa 2OM maniaiaro! LiveDeaier/SLOT/SportsBattie Tara na egamesph.com/promo Sign-up&share to get extra 3O,OOOP ",Gambling,Spam
Verify your EastWest mobile number to avoid account deletion. Update here: bit.ly/secure-ph-748569,Bank Scam,Spam
NINJAVAN-Alert: Tracking #77821. Address is incomplete. Fix it here: ninjavan-fix-ph.net,General Spam,Spam
Part-time Job hiring! Zalora is looking for staff. Earn P800-P2000 daily. Apply: bit.ly/secure-ph-830902,Phishing,Spam
Ciick mo eto para bumiii --> https:Ć s.iazada.com.ph/s.UrR5O Yes! Apat na piraso ! Dahii naka SALE siya ngayon!,General Spam,Spam
Ur order #7437 is out for delivery. Tracking link: bit.ly/ph-93283,General Spam,Spam
Naka login na po ako,Ham,Ham
BOSS! Swerte mo today. Panalo na sa JILI777. Free 562 credits: bit.ly/secure-ph-211429,Gambling,Spam
Ur the lucky winner of MacBook Pro from Globe Rewards. Valid for 24hrs. Pls call 09320956253.,Phishing,Spam
Your payment of P299.00 to GOMO has been successfully processed on 11-02-22 05:42:52 AM. Ref. No. 237875084,Ham,Ham
Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-410177,Phishing,Spam
Apple ID: Someone logged in from Singapore. Secure account: bit.ly/secure-ph-376552,Phishing,Spam
GoTyme: Ur account is flagged for verification. Pls verify identity now d2: bit.ly/secure-ph-705573,General Spam,Spam
"Magparehistro para makakuha ng 7777, tumaya araw-araw:‚ÄÄlucky2.auction/bGRJ","Bank Scam, Gambling",Spam
Mas masaya ang Trick or Treat ngayong taon! Get a chance to WIN a new iPhone o Samsung Phones this November 1 - 5. Maglaro na ng Trick or Treat game NOW! https://smrt.ph/PlayTrickorTreatGame,Ham,Ham
Who is the leader for our community service activity?,Ham,Ham
[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS    Trusted website : epicwins1.eu    Magdeposito at makakuha ng 100% at ibang BONUS araw-araw,General Spam,Spam
"ADVISORY: The old BDO Digital Banking app will be deactivated on August 19, 2024. Download the new BDO Online app and log in with your existing username and password. If you are unable to log in, tap ""Need help logging in?"" to retrieve your username or reset your password. Don't know which app to download? Search ""BDO Online"" in the Google Play Store or Apple Store!",Ham,Ham
"61-Google enters the {9Y1 5.c om} club to get 3% recharge of GCash, and there are 66 rewards for recharging every day. Sign in with 35. Recharge 100 to get 200. There are lucky roulette draws 8888 and iPhone14 every day","Bank Scam, Gambling",Spam
"Hey, it's nice to meet all of you here.",Ham,Ham
Netflix PH: Payment failed. Update billing to avoid interruption: bit.ly/ph-59753,Phishing,Spam
You have paid P50.00 of GCash to purchase Php 50 load for 09129094503 on 04-17-22 11:29 AM. Your GCash balance is P208.00. Ref. No. 073927010.,Ham,Ham
【gamebet】Nakarehistro sa ₱8888 https://gamebet.li/g0g,Gambling,Spam
Sali na sa pinaka-malambot na slots sa JILI-BET. Dito ang daming nananalo: bit.ly/secure-ph-880158,Gambling,Spam
Globe/Smart: Redeem your unclaimed Toyota Vios now. Click to claim: bit.ly/secure-ph-612978,General Spam,Spam
LBC: Failed delivery attempt. Your package is held at warehouse. Pay fee to redeliver: bdo-secure-login.xyz,"Bank Scam, Phishing",Spam
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,General Spam,Spam
"Enter verification code: 369191, to activate SPayLater, valid for 15 mins. NEVER share this code with others under any circumstances. PW42aWeqbj5",Ham,Ham
Laro na sa WIN-PH! Get Malambot ang slots today pag nag-register today. Link d2: bit.ly/secure-ph-638830,Gambling,Spam
"""Get 188p for free, just download the Official APP! Link mn68.co""",General Spam,Spam
"hello po good afternoon, pwede po magpa sched for adjustment?",Ham,Ham
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,Ham,Ham
"PCSO: Lucky number mo nanalo ng P50,000 voucher! Tawagan si Secretary Santos 09163106387.",Phishing,Spam
mag deposit ka ng 100 at gawin nating 268:sv22.tv,General Spam,Spam
Jackpot winner of P500k in P0BWC! Be next. Register: bit.ly/ph-16987,"Gambling, Phishing",Spam
Win an iPhone 14Promax whiie you re at home with 7777 Sign up Bonus! RhkK785*,Gambling,Spam
We have a treat for you today! Enjoy FREE 150MB for surfing valid for 2 days when you load at least P10 one time by 03/10/2024! REF#: FGRT1,Ham,Ham
Ayos na po sir na submit ko na sa canvas,Ham,Ham
Laro na sa 999BET! Get Daily 50 pesos free pag nag-register today. Link d2: bit.ly/secure-ph-234649,Gambling,Spam
Na receive mo na ba yung payment ko,Ham,Ham
RCBC: Your account is restricted. Please verify identity now to avoid deactivation: bit.ly/update-ph-2025,Bank Scam,Spam
BOSS! Swerte mo today. Panalo na sa MCW. Free 855 credits: bit.ly/secure-ph-349196,Gambling,Spam
APPLY for Unionbank Credit Card.    If you already have a credit card from another bank.    Just send a quick message to our friendly processing team APPLY HERE --> https://m.facebook.com/story.php?story_fbid=649193020761806&id=100070133419175    Apply now ! Enjoy High credit limit for shopping anywhere.,Bank Scam,Spam
"okay po pa sched po ako, pwede po morning kasi may pasok ako sa hapon",Ham,Ham
G-572685 is your Google verification code.,Ham,Ham
Stay safe while you prioritize your health with KonsultaMD! Consult anytime with healthcare professionals even if you're at home when you buy plans via GLife. No advisories? Tap go.gcash.com/optout,Ham,Ham
SABONG-MASTER: Watch live cockfighting and win big. 100% Legit: sabong-master-live.com,Gambling,Spam
Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-404330,Phishing,Spam
"C0NGRATS! Napili ur # for 1 Million from Coca-Cola. To claim, call Atty. Lopez 09841932029.",Phishing,Spam
"Dear BANCO DE ORO Customer,    Account re-verification needed due to a system update. Follow instructions at official.link/update.bdo.ph . Thank you for your cooperation.    Sincerely, BANCO DE ORO",Bank Scam,Spam
"<REAL NAME>, Exciting news at WinningPlus! 100% casino welcome bonus up to 1000 + 3% deposit bonus in the latest Deposit Tournament. Join now! winpluspromo.com",Gambling,Spam
Ever dreamed of turning 35 pesos into 15k? Mega Ace might just be your lucky star! Explore more at phpromo.website/P4RVZ8w4RtQ.,General Spam,Spam
"Mag subscribe na sa ALL DATA 99 today dahil 2x all access data na ito, perfect para sa lahat ng sites and apps. Enjoy 6 GB, plus another 6 GB all access data for free, all valid for 7 days. Subscribe to ALL DATA 99 via https://smrt.ph/GetSmartApp or dial *123#2# to subscribe.",Ham,Ham
pasend pics,Ham,Ham
"Hi! We wish to inform you that Loan services via text, *143# and GlobeOne app will be unavailable from March 6, 10 PM to March 7, 6 AM due to a system activity. For your convenience, we suggest to process your requests before or after the activity. Thank you for your understanding.",Ham,Ham
"Did you request to SEND MONEY to R*** H.'s GCash number, 09672907462 with amount of PHP 99.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 239350.",Ham,Ham
Verify your RCBC mobile number to avoid account deletion. Update here: bit.ly/secure-ph-202288,Bank Scam,Spam
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",Ham,Ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,General Spam,Spam
"Big wins, small stakes! See if 6 pesos can become 60k in Golden Empire. Dare to win at bonus.ms/QuYWlk7nk7PWp.",General Spam,Spam
Claim your FREEBIE of 350MB for surfing valid for 3 days now! Simply load a total of P50 before 03/28/2024. REF#: FGRN12,Ham,Ham
bukas po?,Ham,Ham
"Did you request to SEND MONEY to JA**N R*** S.'s GCash number, 09917355455 with amount of PHP 1000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 947868.",Ham,Ham
"ya0nuxeorvj7k76x.muffermissourian.tw/7n1qqhgr7waet9x35ztasi Dagdag pera, dagdag tsansa sa panalo. 100% deposit bonus, sa'yo na!",Gambling,Spam
WINNER! Chosen ur cell # for P500k Petron anniversary. Claim now: 09991861831,Phishing,Spam
WINNER! Chosen ur cell # for P1M Puregold anniversary promo. Call now: 09283334444,Phishing,Spam
PCSO: Lucky number mo nanalo ng 1 Million! Tawagan si Secretary Garcia 09769765930.,General Spam,Spam
Enjoy your SMGP Choice exclusive for Under Armour items Enjoy P1000 SMGP Choice from ACER valid for Under Armour Items at SM Store. CODE is 714 749 8838. For the T&C visit the Pluxee website. Revalidate after 11/30/24. DTI194090 Series of 2024.,Ham,Ham
Sino may extra ballpen dyan,Ham,Ham
todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,Phishing,Spam
Quote of the day: The Lord is my shepherd. 10 pesos per week. Reply OFF to cancel.,General Spam,Spam
"984709 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",Ham,Ham
12/06 16:16: P50.00 loaded to 09123299877 from 09478580716 for 1 year. Ref:8FC5MQ63E9 !Use *123# or smrt.ph/GigaLifeApp to get DOUBLE GIGA: VIDEO OR STORIES!,Ham,Ham
"Hi! Due to a recent system issue, you may have been unable to register to promos or buy load for your Home Prepaid WiFi device. We apologize for this inconvenience. Rest assured that issue has been resolved and you may now continue to buy load or register to promos. Just access the GlobeOne app at https://globeone.onelink.me/ej7I/G1SMS. Thank you for your patience.",Ham,Ham
"A) An Exclusive and Prestigious Wack wack Neighborhood, where your wellness to us matters    Soon to Rise Shangrila Wack-wack  1 Bedroom - 85sqm  2 Bedroom - 145sqm  3 Bedroom - 231sqm    B) The Rise Makati Shangrila along Ayala Ave RFO w/P1.2M (19% disc.) 3 units left    www.shangrilasidences.com    Message now",General Spam,Spam
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",General Spam,Spam
Makakakuha ang mga bagong user ng 100% na bonus sa kanilang unang deposito pove.bid,Gambling,Spam
Just sent it. So what type of food do you like?,Ham,Ham
PCSO: Lucky number mo nanalo ng P100k! Tawagan si Secretary Tan 09341619835.,General Spam,Spam
U call me alter at 11 ok.,Ham,Ham
"BPI Alert! Someone tried to access your wallet from Unknown Location. If not you, block: bit.ly/secure-ph-167582",Bank Scam,Spam
sino kumuha ng suklay ko,Ham,Ham
"Did you request to SEND MONEY to SE*H AM**L C.'s GCash number, 09947128810 with amount of PHP 5.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 296825.",Ham,Ham
"Don't miss the live games from your fave local and international sports leagues like PVL, UAAP, NBA TV! Mag-subscribe na for only P149/month gamit ang TNT load!",Ham,Ham
WIN-PH: Jackpot is waiting! Register na & get free credits. Laro na: bit.ly/ph-58416,Gambling,Spam
Kape kita,Ham,Ham
"<NAME>., Maglaro ng W.PL5SS para makakuha ng IP14P7M7X! Magrehistro para makakuha ng 5179 da'jiang at 2.5% na bonus! w22pl7s.com/W74U",Gambling,Spam
"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 198547.",Ham,Ham
PCSO: Ur mobile # won 2nd prize worth P100k. Call 09685379298 now.,General Spam,Spam
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,General Spam,Spam
LBC: Parcel held at distribution center. Pay customs fee: bit.ly/secure-ph-956149,Phishing,Spam
Your Netflix verification code is 932849.,Ham,Ham
"<NAME>., Sama na sa saya! 2000 bonus + 3% deposit Bonus mula sa Sugar Play! Mag-sign up at manalo dito! sgbetgo3.com",General Spam,Spam
Apple ID: Locked due to security reasons. Verify at bit.ly/ph-68012,Phishing,Spam
g ako dyan anong oras ba,Ham,Ham
Winner! Chosen mobile # for P100k Coca-Cola lucky draw. Claim at 09684623805.,Phishing,Spam
"Your Go+149 now comes with FREE 8GB all access data! For only P149, get a total of 20GB data + 8GB for 5G + 8GB for apps + unli allnet calls & texts, valid for 7 days. Register via GCash or the GlobeOne App—go to Buy Load and check JUST FOR YOU. Promo valid until 08/21/2025. REF#FGGTF31",Ham,Ham
pahiram ng correction tape,Ham,Ham
veniseantimethodi.ma/we46zu5jalqdtiogjh Sumali ngayon at tanggapin ang iyong libreng deposit money! Simulan ang panalo ngayon.,"Gambling, Phishing",Spam
"Your One-Time Password (OTP) is 175524, please enter within 5 minutes. Call BDO Customer Contact Center if you did not login to your account. Ref.No.863333",Ham,Ham
Facebook Warning: Your page will be disabled. Appeal now at bit.ly/secure-ph-611822,Phishing,Spam
21/04 17:05: P50.00 loaded to 09129094503 from xxxxxxxx4306 for 1 year. Ref:ADL3B6AQZZ.,Ham,Ham
Hiring: Amazon PH Part-time/Homebase. Earn 500-1500 daily using phone. Msg us: 09556667778,"Gambling, Phishing",Spam
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",General Spam,Spam
"July is here! Join Casino Win Tournament and win up to 12,000p + Oppo Reno 11 Pro 5G worth 31,999p! Get daily rebate 0.6% at Winplaysuper.de . Sign up now!",Gambling,Spam
"TIME TO APP-GRADE! Switch to the new BDO Online app by August 19, 2024, to continue to view your account balances and make transactions. Just log in with your existing username and password! If you are unable to log in, tap ""Need help logging in?"" to retrieve your username or reset your password.",Ham,Ham
"512568 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW",Ham,Ham
